Magnitude,UTC Date,UTC Time,Sydney Date,Sydney Time,Latitude,Longitude,Magnitude Type,Tsunamigenic,Significant,Approximate location,Depth (km),Solution finalised,Last updated date,Last updated time,Source,Mb,ML,Ms,Mwp,Mw,Longitude unc. (+/- km),Latitude unc.  (+/- km),Time unc. (+/- s),Depth unc. (+/- km),Phases used,Total phases,Stations used,Total stations,Gap Angle,RMS Residual,Location algorithm,Nearest station,EVENT ID,ORIGIN ID
2.6,2017-07-20,16:59:44,2017-07-21,02:59:44,-32.106,117.843,ML,-,-,"N of Corrigin, WA.",10.0,FINL,2017-07-21,10:41:58,AUST,-,2.6,3.48,-,-,-,-,1,0,11,14,9,9,111.83,3.35751650352288982290342815398107858094,locsat:iasp91,KLBR,1327230,1506622
2.0,2017-07-20,16:43:13,2017-07-21,02:43:13,-34.324,149.083,ML,-,-,"NE of Boorowa, NSW.",10.0,FINL,2017-07-21,10:47:10,AUST,-,1.95,-,-,-,-,-,5.02,0,7,7,4,4,342.91,0.2317091773261103638474128572137884259782,locsat:iasp91,DLN,1327241,1506634
2.3,2017-07-20,06:46:01,2017-07-20,16:46:01,-32.091,117.735,ML,-,-,"NW of Corrigin, WA.",10.0,FINL,2017-07-24,11:44:02,AUST,-,2.28,-,-,-,-,-,2.38,0,6,6,3,3,204.47,0.2411334347064573567891280816161145047659,locsat:iasp91,KLBR,1328302,1507743
2.3,2017-07-20,06:43:17,2017-07-20,16:43:17,-32.098,117.73,ML,-,-,"NW of Corrigin, WA.",10.0,FINL,2017-07-24,11:33:07,AUST,-,2.29,-,-,-,-,-,2.37,0,6,6,3,3,204.06,0.2357664805126745181725964007899457466058,locsat:iasp91,KLBR,1328301,1507741
2.5,2017-07-20,04:43:30,2017-07-20,14:43:30,-32.117,117.806,ML,-,-,"NW of Corrigin, WA.",10.0,FINL,2017-07-24,11:25:20,AUST,-,2.47,-,-,-,-,-,3.08,0,6,6,3,3,215.14,0.0231984194863931768386531899322387602358,locsat:iasp91,N/A,1328297,1507735
2.4,2017-07-20,01:27:53,2017-07-20,11:27:53,-32.09,117.763,ML,-,-,"NW of Corrigin, WA.",10.0,FINL,2017-07-24,11:05:43,AUST,-,2.37,-,-,-,-,-,2.42,0,8,8,4,4,208.41,0.4781632827811018782804404623301543805436,locsat:iasp91,N/A,1328295,1507730
2.5,2017-07-20,00:39:19,2017-07-20,10:39:19,-32.096,117.746,ML,-,-,"N of Corrigin, WA.",10.0,FINL,2017-07-21,11:40:56,AUST,-,2.49,-,-,-,-,-,2.64,0,6,6,3,3,206.19,0.3418579139545160995326036947203821636485,locsat:iasp91,KLBR,1327272,1506664
2.3,2017-07-20,00:35:15,2017-07-20,10:35:15,-32.094,117.738,ML,-,-,"N of Corrigin, WA.",10.0,FINL,2017-07-21,11:48:09,AUST,-,2.31,-,-,-,-,-,2.59,0,6,6,3,3,204.99,0.3031575497987803700740929271470906839806,locsat:iasp91,KLBR,1327279,1506674
2.5,2017-07-19,22:22:51,2017-07-20,08:22:51,-32.082,117.733,ML,-,-,"NW of Corrigin, WA.",10.0,FINL,2017-07-20,12:46:14,AUST,-,2.47,-,-,-,-,-,2.95,0,5,5,3,3,203.98,0.1583306666442101480991474042245062244972,locsat:iasp91,N/A,1326880,1506263
2.2,2017-07-19,22:01:12,2017-07-20,08:01:12,-32.081,117.733,ML,-,-,"NW of Corrigin, WA.",10.0,FINL,2017-07-20,12:41:55,AUST,-,2.23,-,-,-,-,-,2.95,0,5,5,3,3,203.85,0.1118159201545110927680348299760344272213,locsat:iasp91,KLBR,1326879,1506261
2.4,2017-07-19,20:49:10,2017-07-20,06:49:10,-32.078,117.724,ML,-,-,"NW of Corrigin, WA.",10.0,FINL,2017-07-20,12:37:47,AUST,-,2.43,-,-,-,-,-,2.93,0,5,5,3,3,202.59,0.3513710289708017461495772065660061440601,locsat:iasp91,KLBR,1326876,1506258
2.4,2017-07-19,20:42:25,2017-07-20,06:42:25,-32.073,117.717,ML,-,-,"NW of Corrigin, WA.",10.0,FINL,2017-07-20,12:36:42,AUST,-,2.38,-,-,-,-,-,2.93,0,5,5,3,3,201.27,0.5574343010615690484717850653670834844327,locsat:iasp91,N/A,1326878,1506260
2.4,2017-07-19,20:36:42,2017-07-20,06:36:42,-32.071,117.714,ML,-,-,"NW of Corrigin, WA.",10.0,FINL,2017-07-20,12:32:07,AUST,-,2.38,-,-,-,-,-,2.87,0,5,5,3,3,200.77,0.210083316805499812634264712020645282979,locsat:iasp91,KLBR,1326877,1506259
2.8,2017-07-19,20:02:50,2017-07-20,06:02:50,-32.058,117.727,ML,-,-,"NW of Corrigin, WA.",10.0,FINL,2017-07-20,12:27:13,AUST,-,2.78,3.64,-,-,-,-,1.12,0,10,10,7,7,113.56,0.3651379191483678267032942530399605590972,locsat:iasp91,N/A,1326875,1506256
2.3,2017-07-19,19:27:48,2017-07-20,05:27:48,-32.116,117.803,ML,-,-,"NW of Corrigin, WA.",10.0,FINL,2017-07-20,12:24:03,AUST,-,2.26,-,-,-,-,-,2.57,0,6,6,4,4,199.75,0.8415217366968801794845685060087912676851,locsat:iasp91,KLBR,1326874,1506254
2.3,2017-07-19,19:01:46,2017-07-20,05:01:46,-32.078,117.731,ML,-,-,"NW of Corrigin, WA.",10.0,FINL,2017-07-20,12:22:48,AUST,-,2.33,-,-,-,-,-,2.94,0,5,5,3,3,203.5,0.0747983957047208332703432149496865518066,locsat:iasp91,KLBR,1326873,1506253
2.3,2017-07-19,18:57:53,2017-07-20,04:57:53,-32.087,117.742,ML,-,-,"NW of Corrigin, WA.",10.0,FINL,2017-07-20,12:16:04,AUST,-,2.34,3.59,-,-,-,-,1.71,0,8,8,5,5,192.73,0.2080345524185826204119895186666691203252,locsat:iasp91,N/A,1326872,1506252
2.8,2017-07-19,18:35:44,2017-07-20,04:35:44,-32.047,117.688,ML,-,-,"NW of Corrigin, WA.",10.0,FINL,2017-07-20,11:59:11,AUST,-,2.75,3.63,-,-,-,-,0.26,0,10,10,7,7,112.54,0.5388035820222430555403260538088163363791,locsat:iasp91,N/A,1326869,1506247
2.3,2017-07-19,18:27:40,2017-07-20,04:27:40,-32.077,117.736,ML,-,-,"NW of Corrigin, WA.",10.0,FINL,2017-07-20,11:53:24,AUST,-,2.32,-,-,-,-,-,0.45,0,7,7,4,4,191.91,0.5956545019676135330247746557543422650292,locsat:iasp91,KLBR,1326868,1506245
2.5,2017-07-19,18:12:37,2017-07-20,04:12:37,-32.064,117.716,ML,-,-,"NW of Corrigin, WA.",10.0,FINL,2017-07-20,11:47:45,AUST,-,2.51,3.68,-,-,-,-,0.32,0,9,9,6,6,184.98,0.504014550054526368994400599894341478415,locsat:iasp91,KLBR,1326867,1506244
2.4,2017-07-19,18:06:06,2017-07-20,04:06:06,-32.053,117.724,ML,-,-,"NW of Corrigin, WA.",10.0,FINL,2017-07-20,11:42:21,AUST,-,2.35,-,-,-,-,-,0.41,0,7,7,4,4,190.29,0.5470907472387791300267584426701609879019,locsat:iasp91,KLBR,1326865,1506240
2.3,2017-07-19,18:05:11,2017-07-20,04:05:11,-32.075,117.723,ML,-,-,"NW of Corrigin, WA.",10.0,FINL,2017-07-20,11:43:30,AUST,-,2.33,-,-,-,-,-,0.54,0,7,7,4,4,190.43,0.7521486365264324725135162136436270987179,locsat:iasp91,KLBR,1326864,1506238
2.4,2017-07-19,17:56:25,2017-07-20,03:56:25,-32.027,117.658,ML,-,-,"NW of Corrigin, WA.",10.0,FINL,2017-07-20,11:36:17,AUST,-,2.4,-,-,-,-,-,0.6,0,8,8,5,5,181.57,0.9310205422008689492264992716114753876574,locsat:iasp91,KLBR,1326862,1506236
2.9,2017-07-19,17:54:11,2017-07-20,03:54:11,-32.029,117.761,ML,-,-,"N of Corrigin, WA.",10.0,FINL,2017-07-20,11:30:34,aust,-,2.9,3.84,-,-,-,-,0.45,0,16,24,11,14,113.64,4.84969491738054247129890687247578746054,locsat:iasp91,KLBR,1326711,1506230
2.0,2017-07-19,16:38:14,2017-07-20,02:38:14,-34.313,149.053,ML,-,-,"NE of Boorowa, NSW.",10.0,FINL,2017-07-20,12:55:49,AUST,-,1.96,-,-,-,-,-,3.26,0,9,9,5,5,235.1,0.1217428984924103625776403324959872342587,locsat:iasp91,N/A,1326885,1506270
2.7,2017-07-19,15:29:13,2017-07-20,01:29:13,-32.08,117.734,ML,-,-,"N of Corrigin, WA.",10.0,FINL,2017-07-20,10:18:19,AUST,-,2.72,3.48,-,-,-,-,1.2,0,10,10,7,7,114.14,0.5855678440624963142580744330490900404761,locsat:iasp91,KLBR,1326617,1506172
3.3,2017-07-19,15:05:25,2017-07-20,01:05:25,-32.075,117.833,ML,-,-,"N of Corrigin, WA.",10.0,FINL,2017-07-20,09:15:28,AUST,-,3.32,-,-,-,-,-,0.79,0,18,21,13,16,94.61,1.59996943423185134177279575010754384594,locsat:iasp91,KLBR,1326585,1506131
1.9,2017-07-18,09:53:26,2017-07-18,19:53:26,-34.281,148.915,ML,-,-,"NE of Boorowa, NSW.",10.0,FINL,2017-07-19,10:03:32,AUST,-,1.93,-,-,-,-,-,1.11,0,10,10,5,5,152.67,0.318329389155321315582136352678756919686,locsat:iasp91,YNG,1326293,1505608
1.8,2017-07-18,07:50:44,2017-07-18,17:50:44,-34.278,148.91,ML,-,-,"NE of Boorowa, NSW.",10.0,FINL,2017-07-19,08:56:59,AUST,-,1.84,-,-,-,-,-,1.28,0,10,10,6,6,153.2,0.3965584446207141356630826927846632543143,locsat:iasp91,N/A,1326287,1505604
2.2,2017-07-17,19:51:40,2017-07-18,05:51:40,-34.192,150.809,ML,-,true,"Near Appin, NSW. (Reported felt).",10.0,FINL,2017-07-18,15:54:34,AUST,-,2.15,2.9,-,-,-,-,0.57,0,23,23,16,16,127.33,0.5599451836525180559391147266412933046303,locsat:iasp91,MABG,1325643,1505412
1.9,2017-07-17,15:36:41,2017-07-18,01:36:41,-34.282,148.922,ML,-,-,"NE of Boorowa, NSW.",10.0,FINL,2017-07-18,15:03:23,AUST,-,1.85,3.2,-,-,-,-,0.7,0,20,21,12,13,105.64,0.7210631700746441799888811001343216298379,locsat:iasp91,YNG,1326089,1505373
2.2,2017-07-17,13:29:39,2017-07-17,23:29:39,-34.27,148.909,ML,-,-,"NE of Boorowa, NSW.",10.0,FINL,2017-07-18,14:47:07,AUST,-,2.2,2.96,-,-,-,-,0.63,0,23,23,15,15,106.07,0.5244613800180474514714219202082141055319,locsat:iasp91,N/A,1325553,1505346
1.8,2017-07-17,03:17:13,2017-07-17,13:17:13,-34.268,148.936,ML,-,-,"NE of Boorowa, NSW.",10.0,FINL,2017-07-18,09:43:15,AUST,-,1.84,-,-,-,-,-,1.14,0,13,13,7,7,154.27,0.3857858114390578616945762766685561661817,locsat:iasp91,N/A,1325518,1504930
3.2,2017-07-17,00:39:43,2017-07-17,10:39:43,-33.999,151.589,ML,-,true,"Offshore Sydney, NSW. (Reported felt).",10.0,FINL,2017-07-17,11:43:27,AUST,-,3.18,-,-,-,-,-,1.05,0,23,25,15,15,211.69,1.12596754837783846318155081310594036348,locsat:iasp91,SYDS,1325125,1504308
2.5,2017-07-16,22:41:26,2017-07-17,08:41:26,-32.416,138.635,ML,-,-,"N of Orroroo, SA.",10.0,FINL,2017-07-18,15:25:42,AUST,-,2.53,3.21,-,-,-,-,1.02,0,11,16,10,10,83.22,2.15870418306909295709536922764183513585,locsat:iasp91,NAPP,1325425,1505402
2.2,2017-07-16,20:50:33,2017-07-17,06:50:33,-32.808,138.907,ML,-,-,"SE of Orroroo, SA.",10.0,FINL,2017-07-18,15:36:32,AUST,-,2.15,3.29,-,-,-,-,1.21,0,9,10,6,6,128.27,0.9011244087250106222149736719124895376155,locsat:iasp91,HTT,1326105,1505407
3.3,2017-07-16,17:31:34,2017-07-17,03:31:34,-31.018,122.187,ML,-,-,"NE of Kambalda, WA.",10.0,FINL,2017-07-18,15:16:30,AUST,-,3.33,4.36,-,-,-,-,0.87,0,16,34,13,21,127.82,3.22780195653144669415944976738382670344,locsat:iasp91,N/A,1325039,1505387
1.7,2017-07-16,14:26:46,2017-07-17,00:26:46,-34.268,148.944,ML,-,-,"NE of Boorowa, NSW.",10.0,FINL,2017-07-17,13:26:19,AUST,-,1.69,-,-,-,-,-,0.92,0,15,15,8,8,154.05,0.3900170936424881023362511597532677758432,locsat:iasp91,N/A,1325231,1504423
1.6,2017-07-16,09:33:13,2017-07-16,19:33:13,-34.29,148.914,ML,-,-,"NE of Boorowa, NSW.",10.0,FINL,2017-07-17,13:14:45,AUST,-,1.56,-,-,-,-,-,3.48,0,8,8,5,5,244.51,0.3582377004169159189920283606262440353302,locsat:iasp91,YNG,1325226,1504416
3.1,2017-07-16,03:50:52,2017-07-16,13:50:52,-31.512,126.781,ML,-,-,"Nullarbor Plain, WA.",10.0,FINL,2017-07-18,12:20:56,AUST,-,3.14,3.45,-,-,-,-,1.37,0,10,12,9,9,165.2,1.8334283005706368045610801825775387324,locsat:iasp91,FORT,1325942,1505220
3.4,2017-07-15,21:27:27,2017-07-16,07:27:27,-26.094,131.935,ML,-,true,"NW of Ernabella, SA. (Reported felt).",10.0,FINL,2017-07-18,11:57:56,AUST,-,3.4,3.6,-,-,-,-,0.65,0,21,38,18,30,85.89,2.74204741023929051976944848797280043789,locsat:iasp91,AS31,1324798,1505186
1.9,2017-07-15,09:37:39,2017-07-15,19:37:39,-31.637,116.983,ML,-,-,"Near Meckering, WA.",10.0,FINL,2017-07-18,11:25:53,AUST,-,1.9,-,-,-,-,-,0.39,0,8,8,5,5,99.78,0.7397321305716008980664882119758568230988,locsat:iasp91,KLBR,1325834,1505069
1.8,2017-07-15,03:54:54,2017-07-15,13:54:54,-34.288,148.92,ML,-,-,"NE of Boorowa, NSW.",10.0,FINL,2017-07-17,13:02:11,AUST,-,1.81,-,-,-,-,-,1,0,14,14,7,7,151.46,0.4806620434359259867852395971750520688543,locsat:iasp91,YNG,1325225,1504414
1.8,2017-07-15,01:43:52,2017-07-15,11:43:52,-34.272,148.919,ML,-,-,"NE of Boorowa, NSW.",10.0,FINL,2017-07-17,12:51:31,AUST,-,1.78,-,-,-,-,-,1.89,0,9,9,5,5,170.77,0.2071223470962673951773037201351419292115,locsat:iasp91,YNG,1325224,1504412
1.8,2017-07-15,00:13:39,2017-07-15,10:13:39,-34.27,148.925,ML,-,-,"NE of Boorowa, NSW.",10.0,FINL,2017-07-17,12:45:03,AUST,-,1.84,-,-,-,-,-,1.62,0,11,11,6,6,154.2,0.1995631592891196575289612402251828241862,locsat:iasp91,YNG,1325214,1504405
1.8,2017-07-14,23:59:34,2017-07-15,09:59:34,-34.295,148.911,ML,-,-,"NE of Boorowa, NSW.",10.0,FINL,2017-07-17,09:26:58,AUST,-,1.8,-,-,-,-,-,1.36,0,11,11,7,7,105.23,0.3205563345753186583931996254689706279632,locsat:iasp91,YNG,1325084,1504221
3.3,2017-07-14,23:13:08,2017-07-15,09:13:08,-34.266,148.92,ML,-,true,"NE of Boorowa, NSW. (Reported felt).",10.0,FINL,2017-07-17,09:14:51,AUST,-,3.28,-,-,-,-,-,0.41,0,32,33,23,23,67.42,0.7723772629768670007028861106616729161395,locsat:iasp91,YNG,1324470,1504193
2.0,2017-07-14,15:59:49,2017-07-15,01:59:49,-38.662,146.012,ML,-,-,"W of Foster, VIC.",10.0,FINL,2017-07-17,10:03:44,AUST,-,2.02,-,-,-,-,-,2.76,0,9,10,6,6,230.28,0.3997509224504678988546256212280840979855,locsat:iasp91,TOO,1325098,1504248
3.4,2017-07-13,20:27:22,2017-07-14,06:27:22,-23.23,127.571,ML,-,-,"SW of Lake Mackay, WA.",10.0,FINL,2017-07-14,13:07:17,AUST,-,3.35,-,-,-,-,-,0.61,0,21,35,17,23,55.84,3.8070239933200165890290599579707575875,locsat:iasp91,WRKA,1324108,1503255
2.3,2017-07-12,18:05:22,2017-07-13,04:05:22,-30.819,117.934,ML,-,-,"Near Bencubbin, WA.",10.0,FINL,2017-07-13,16:32:16,-,-,2.29,-,-,-,-,-,2.85,0,8,8,5,5,234.81,0.1926447507719844413202021398442869038166,locsat:iasp91,KLBR,1323820,1502849
1.8,2017-07-12,04:07:46,2017-07-12,14:07:46,-34.249,148.962,ML,-,-,"NE of Boorowa, NSW.",10.0,FINL,2017-07-13,08:45:26,AUST,-,1.78,-,-,-,-,-,1.24,0,13,13,8,8,178.56,0.6814069720354067073298780589924151068061,locsat:iasp91,N/A,1323629,1502648
2.0,2017-07-10,02:00:42,2017-07-10,12:00:42,-34.273,148.93,ML,-,-,"NE of Boorowa, NSW.",10.0,FINL,2017-07-11,11:34:56,AUST,-,2.04,4.47,-,-,-,-,0.65,0,21,24,13,14,105.93,6.50194179329016550781117837910872346011,locsat:iasp91,N/A,1322365,1501805
2.4,2017-07-10,00:14:55,2017-07-10,10:14:55,-31.355,119.228,ML,-,-,"Moorine Rock, WA.",10.0,FINL,2017-07-11,10:44:10,AUST,-,2.42,2.94,-,-,-,-,0.98,0,12,12,8,8,135.44,0.6488387704198940669218093830643497638763,locsat:iasp91,KLBR,1322841,1501802
1.5,2017-07-09,14:39:05,2017-07-10,00:39:05,-34.207,148.961,ML,-,-,"NE of Boorowa, NSW.",10.0,FINL,2017-07-11,10:23:20,AUST,-,1.48,-,-,-,-,-,0.68,0,11,11,6,6,185.5,0.9210763466529994242246860328806364154975,locsat:iasp91,YNG,1322837,1501794
1.9,2017-07-09,06:49:47,2017-07-09,16:49:47,-34.28,148.926,ML,-,-,"NE of Boorowa, NSW.",10.0,FINL,2017-07-11,11:36:12,AUST,-,1.92,-,-,-,-,-,0.48,0,26,27,18,18,90.65,0.830577197785661270606865606828047179312,locsat:iasp91,N/A,1322836,1501791
2.3,2017-07-09,01:09:18,2017-07-09,11:09:18,-32.252,138.66,ML,-,-,"S of Hawker, SA.",10.0,FINL,2017-07-11,09:06:24,AUST,-,2.33,-,-,-,-,-,0.81,0,16,16,12,12,106.6,0.4788403309037366372035330551376590119525,locsat:iasp91,N/A,1322813,1501754
2.0,2017-07-08,21:03:16,2017-07-09,07:03:16,-34.263,148.951,ML,-,-,"NE of Boorowa, NSW.",10.0,FINL,2017-07-10,15:11:44,AUST,-,2.04,-,-,-,-,-,0.65,0,29,29,17,17,154.7,0.8546787055117100633338327174998158975117,locsat:iasp91,N/A,1322461,1501393
1.6,2017-07-08,19:16:30,2017-07-09,05:16:30,-34.266,148.942,ML,-,-,"NE of Boorowa, NSW.",10.0,FINL,2017-07-10,14:07:49,AUST,-,1.63,-,-,-,-,-,1.06,0,14,14,8,8,154.44,0.6015044828238130904435963412080725042872,locsat:iasp91,N/A,1322456,1501382
1.6,2017-07-08,16:20:24,2017-07-09,02:20:24,-34.242,148.918,ML,-,-,"NE of Boorowa, NSW.",10.0,FINL,2017-07-10,13:56:41,AUST,-,1.64,-,-,-,-,-,1.14,0,14,14,8,8,158.63,0.8751410906656300819936977376507894277008,locsat:iasp91,YNG,1322454,1501379
1.6,2017-07-08,16:08:50,2017-07-09,02:08:50,-34.27,148.942,ML,-,-,"NE of Boorowa, NSW.",10.0,FINL,2017-07-10,13:52:13,AUST,-,1.62,-,-,-,-,-,0.9,0,16,16,9,9,153.81,0.444138914079818049892413929430390016116,locsat:iasp91,YNG,1322449,1501376
3.2,2017-07-08,13:12:35,2017-07-08,23:12:35,-34.262,148.929,ML,-,true,"NE of Boorowa, NSW. (Reported felt).",10.0,FINL,2017-07-10,11:08:28,AUST,-,3.23,3.3,-,-,-,-,0.17,0,37,40,27,27,42.04,1.27382998276850117483315993432161692831,locsat:iasp91,YNG,1321478,1501190
1.6,2017-07-08,10:54:52,2017-07-08,20:54:52,-34.263,148.962,ML,-,-,"NE of Boorowa, NSW.",10.0,FINL,2017-07-10,12:27:00,AUST,-,1.58,-,-,-,-,-,0.84,0,19,20,10,11,154.56,0.763552519477213171745339752269714445889,locsat:iasp91,YNG,1322364,1501283
2.7,2017-07-06,22:28:42,2017-07-07,08:28:42,-33.195,119.288,ML,-,-,"SE of Newdegate, WA.",10.0,FINL,2017-07-07,14:01:54,AUST,-,2.73,-,-,-,-,-,1.18,0,13,14,9,9,158.58,0.9736398204675073785403707353558683047904,locsat:iasp91,NWAO,1320777,1499699
3.3,2017-07-02,23:47:29,2017-07-03,09:47:29,-24.839,113.476,ML,-,-,"Offshore Carnarvon, WA.",10.0,FINL,2017-07-04,08:27:10,AUST,-,3.25,-,-,-,-,-,1.89,0,14,17,13,13,215.66,6.24430818943987439965126351190092387358,locsat:iasp91,N/A,1319058,1497861
2.0,2017-07-01,19:54:41,2017-07-02,05:54:41,-34.19,149.627,ML,-,-,"NW of Taralga, NSW.",10.0,FINL,2017-07-03,14:27:45,AUST,-,2,-,-,-,-,-,3.92,0,7,8,4,4,283.89,2.74314732560976389130470562620273104406,locsat:iasp91,N/A,1318842,1497609
2.4,2017-07-01,01:01:09,2017-07-01,11:01:09,-31.628,117.038,ML,-,-,"Near Meckering, WA.",10.0,FINL,2017-07-03,11:45:58,AUST,-,2.37,3.21,-,-,-,-,0.97,0,11,13,7,8,97.76,2.034619714987394054712690247071256254,locsat:iasp91,KLBR,1318806,1497564
2.3,2017-06-30,20:43:23,2017-07-01,06:43:23,-34.053,147.57,ML,-,-,"Barmedman area, NSW.",10.0,FINL,2017-07-03,10:51:28,AUST,-,2.25,-,-,-,-,-,1.45,0,16,16,9,9,189.79,0.8534490684862219708719561194959267650696,locsat:iasp91,N/A,1318791,1497546
2.3,2017-06-30,02:04:24,2017-06-30,12:04:24,-29.742,137.423,ML,-,-,"W of Marree, SA.",10.0,FINL,2017-07-03,09:53:24,AUST,-,2.26,3.03,-,-,-,-,2.62,0,7,7,5,5,208.4,0.2897844026168420266103658577993730300485,locsat:iasp91,OOD,1318743,1497530
2.5,2017-06-28,15:08:21,2017-06-29,01:08:21,-28.895,136.67,ML,-,-,"Near William Creek, SA.",10.0,FINL,2017-06-29,10:31:32,AUST,-,2.51,-,-,-,-,-,2.33,0,7,9,5,5,195.18,1.5000192961721822093344731798962099971,locsat:iasp91,MULG,1317371,1496023
3.2,2017-06-27,06:52:51,2017-06-27,16:52:51,-38.031,140.227,ML,-,-,"W of Port Macdonnell, Offshore SA.",10.0,FINL,2017-06-28,10:05:33,AUST,-,3.22,-,-,-,-,-,0.93,0,21,24,19,19,167.89,1.87861381741964199788058425464428267854,locsat:iasp91,ARPS,1316805,1495643
2.9,2017-06-27,02:22:34,2017-06-27,12:22:34,-21.278,116.234,ML,-,-,"Near Mardie, Pilbara, WA.",10.0,FINL,2017-06-28,11:23:06,AUST,-,2.91,-,-,-,-,-,2.28,0,8,8,6,6,215.27,0.5722345454444357468863373731566515788742,locsat:iasp91,GIRL,1317029,1495631
1.5,2017-06-26,18:00:43,2017-06-27,04:00:43,-32.28,150.815,ML,-,-,"Muswellbrook, NSW.",10.0,FINL,2017-06-30,10:37:59,AUST,-,1.5,-,-,-,-,-,1.55,0,8,10,5,6,178.77,2.19637845099609370575635481429727477883,locsat:iasp91,N/A,1316641,1496158
2.0,2017-06-26,14:31:56,2017-06-27,00:31:56,-32.338,150.847,ML,-,true,"Muswellbrook, NSW. (Reported felt).",10.0,FINL,2017-06-27,09:03:06,AUST,-,2,-,-,-,-,-,0.85,0,22,23,13,13,155.15,0.9671619171126639631987165994945547137803,locsat:iasp91,MGCD,1316606,1495229
1.9,2017-06-26,14:27:24,2017-06-27,00:27:24,-32.312,150.846,ML,-,true,"Muswellbrook, NSW. (Reported felt).",10.0,FINL,2017-06-27,09:44:59,AUST,-,1.88,-,-,-,-,-,0.92,0,18,20,10,11,176.16,1.02006374800793700199212304719576066867,locsat:iasp91,MGCD,1316569,1495239
1.5,2017-06-26,14:06:28,2017-06-27,00:06:28,-32.327,150.786,ML,-,-,"Muswellbrook, NSW.",10.0,FINL,2017-06-30,10:39:25,AUST,-,1.53,-,-,-,-,-,1.24,0,13,13,7,7,180.69,0.922719308932528558323755923284278139463,locsat:iasp91,MGCD,1316642,1496155
